"ELCODE","GNAME","GCOMNAME","NAME_CATEGORY_ID","NAME_TYPE_CD","NAME_CATEGORY_DESC","G_RANK","ELEMENT_SUBNATIONAL_ID","SNAME","SCOMNAME","S_RANK","CLASSIFICATION_STATUS_DESC","EO_TRACK_STATUS_DESC","SUBNATION_NAME"
"NBMUS5G020","Plagiobryum zieri","Zier's Hump Moss","5.0","P","Nonvascular Plant","G5","10420.0","Plagiobryum zieri","Plagiobryum moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PMALI04041","Sagittaria montevidensis ssp. calycina","Long-lobe Arrowhead","4.0","P","Vascular Plant","G5T5?","9643.0","Sagittaria montevidensis ssp. calycina","Long-lobe arrowhead","S2?","Standard","Track all extant and selected historical EOs","Oregon"
"PMCYP035K0","Carex gynocrates","Northern Bog Sedge","4.0","P","Vascular Plant","G5","9128.0","Carex gynocrates","Yellow bog sedge","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PMPOT030B1","Potamogeton foliosus ssp. fibrillosus","Fibrous Pondweed","4.0","P","Vascular Plant","G5T2T3Q","9349.0","Potamogeton fibrillosus","Fibrous pondweed","SH","Standard","Track all extant and selected historical EOs","Oregon"
"PMLIL0Z022","Hastingsia bracteosa var. bracteosa","Large-flower Rushlily","4.0","P","Vascular Plant","G2T2","9279.0","Hastingsia bracteosa var. bracteosa","Large-flowered rush-lily","S2","Standard","Track all extant and selected historical EOs","Oregon"
"PMLIL0D0L0","Calochortus indecorus","Sexton Mountain Mariposa Lily","4.0","P","Vascular Plant","GX","9241.0","Calochortus indecorus","Sexton Mt. mariposa-lily","SX","Standard","Track all extant and selected historical EOs","Oregon"
"PMCYP0H070","Lipocarpha occidentalis","Western Halfchaff Sedge","4.0","P","Vascular Plant","G5","9178.0","Lipocarpha occidentalis","Western halfchaff sedge","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PMCYP0H060","Lipocarpha aristulata","Drummond's Hemicarpha","4.0","P","Vascular Plant","G4G5","9177.0","Lipocarpha aristulata","Aristulate lipocarpha","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PMCYP0F010","Carex myosuroides","Pacific Kobresia","4.0","P","Vascular Plant","G5","9176.0","Kobresia myosuroides","Bellard's kobresia","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PMCYP0F030","Carex simpliciuscula","Simple Kobresia","4.0","P","Vascular Plant","G5","9175.0","Kobresia simpliciuscula","Simple kobresia","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PDFUM03046","Corydalis caseana ssp. aquae-gelidae","Cold-water Corydalis","4.0","P","Vascular Plant","G5T3","8652.0","Corydalis aquae-gelidae","Cold-water corydalis","S3","Standard","Track all extant and selected historical EOs","Oregon"
"PDFAB0F2W1","Astragalus diaphanus var. diurnus","South John Day Milkvetch","4.0","P","Vascular Plant","G4T2","8568.0","Astragalus diaphanus var. diurnus","South John Day milk-vetch","S2","Standard","Track all extant and selected historical EOs","Oregon"
"PDRAN040H1","Anemone oregana var. felix","Bog Anemone","4.0","P","Vascular Plant","G4T3","8864.0","Anemone oregana var. felix","Bog anemone","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PDPRI04030","Douglasia laevigata","Cliff Dwarf-primrose","4.0","P","Vascular Plant","G3","8858.0","Douglasia laevigata","Dwarf primrose","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"PDPGN086F0","Eriogonum crosbyae var. crosbyae","Crosby's Buckwheat","4.0","P","Vascular Plant","G4T3","8799.0","Eriogonum crosbyae var. crosbyae","Crosby's buckwheat","S2","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS5T0D0","Polytrichastrum sexangulare var. vulcanicum","Northern Haircap Moss","5.0","P","Nonvascular Plant","G4G5T3T4","8126.0","Polytrichastrum sexangulare var. vulcanicum","Moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS2M030","Encalypta brevicolla","White-mouthed Extinguisher Moss","5.0","P","Nonvascular Plant","G5","8106.0","Encalypta brevicollis","Moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS1F0A0","Pseudocalliergon trifarium","Three-ranked Spear Moss","5.0","P","Nonvascular Plant","G5","8101.0","Pseudocalliergon trifarium","Three-ranked spear moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PDBRA060Z1","Boechera koehleri var. 1","Koehler's Rockcress","4.0","P","Vascular Plant","G3T1Q","8421.0","Arabis koehleri var. koehleri","Koehler's rockcress","S1","Nonstandard","Track all extant and selected historical EOs","Oregon"
"PDAST3M1A1","Erigeron davisii","Davis' Fleabane","4.0","P","Vascular Plant","G2G3","8297.0","Erigeron davisii","Engelmann's daisy","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PDAST0S0D5","Artemisia campestris var. wormskioldii","Northern Wormwood","4.0","P","Vascular Plant","G5T1","8250.0","Artemisia campestris var. wormskioldii","Northern wormwood","SX","Nonstandard","Track all extant and selected historical EOs","Oregon"
"PDAPI0U0V0","Vesper purpurascens","Purple Cymopterus","4.0","P","Vascular Plant","G4","8191.0","Cymopterus purpurascens","Purple cymopterus","S2","Standard","Track all extant and selected historical EOs","Oregon"
