ELEMENT_SUBNATIONAL_ID,ELCODE,SNAME,SCOMNAME,HPLIST,TRACK,added to project,iNaturalist name if different,notes/issues,References
7332,IIHEMA1010,Teratocoris paludum,Pale plant bug,3,N,y,,,
436297,ICMALC5010,Upogebia pugettensis,Blue mud shrimp,1,Y,y,,,
7334,IIHEMA2021,Vanduzeeina borealis californica,California shield-backed bug,2,Y,y,,,
11623,IMGAS20110,Vertigo columbiana,Columbia vertigo,3,Y,y,,,
10685,IMGAS20130,Vertigo dalliana,Horseshoe vertigo,3,Y,y,,,
9408,IMGASA4090,Vespericola depressus,Columbia Gorge hesperian,1,Y,,,Not in iNaturalist. checked synonyms too. likely due to MolluscaBase merging this into V. columbianus,
7908,IMGASA4080,Vespericola sierranus,Siskiyou hesperian,1,Y,y,,,
7909,IMGASA4100,Vespericola sp. 1,Oak Springs hesperian,1,Y,skip,,unpublished taxon,
7910,IMGASA4110,Vespericola sp. 2,Bald hesperian,1,Y,skip,,unpublished taxon,
366214,IMGASA4550,Vespericola sp. 31,Yamhill hesperian,1,Y,skip,,"skip, unpublished taxon",
8034,IMGASN2011,Vorticifex effusa dalli,Dall's ramshorn,1,Y,,Vorticifex effusa,,
8035,IMGASN2012,Vorticifex effusa diagonalis,Lined ramshorn,1,Y,,Vorticifex effusa,,
8038,IMGASN2041,Vorticifex klamathensis klamathensis,Klamath ramshorn,1,Y,,Vorticifex effusa,,
8039,IMGASN2042,Vorticifex klamathensis sinitsini,Sinitsin ramshorn,1,Y,,Vorticifex effusa,,
8036,IMGASN2030,Vorticifex neritoides,Nerite ramshorn,1,Y,y,Vorticifex effusa,Many species under Vorticifex merged under V. effusa. ,https://www.molluscabase.org/aphia.php?p=taxdetails&id=1352101
