sname,elcode,taxon_id,inat_name,last_updated,scomname,generic_name
Tayloria serrata,NBMUS79050,169575.0,Tayloria serrata,2026-05-06,Serrate trumpet moss,
Usnea rubicunda,NLLEC4R0N0,117900.0,Usnea rubicunda,2026-05-06,Red beard lichen,
Tetraplodon mnioides,NBMUS7C020,133496.0,Tetraplodon mnioides,2026-05-06,Entire-leaved nitrogen moss,
Hackelia cronquistii,PDBOR0G080,163488.0,Hackelia cronquistii,2026-05-06,Cronquist's stickseed,
Frasera umpquaensis,PDGEN050F0,77166.0,Frasera umpquaensis,2026-05-06,Umpqua swertia,
Corydalis aquae-gelidae,PDFUM03046,,,2026-05-06,Cold-water corydalis,
Pyrrocoma radiata,PDASTDT0G0,167630.0,Pyrrocoma radiata,2026-05-06,Snake River goldenweed,
Astragalus hoodianus,PDFAB0F410,158909.0,Astragalus hoodianus,2026-05-06,Hood River milk-vetch,
Opuntia fragilis,PDCAC0D0H0,62474.0,Opuntia fragilis,2026-05-06,Brittle prickly-pear,
Astragalus tegetarioides,PDFAB0F8P0,159013.0,Astragalus tegetarioides,2026-05-06,Bastard kentrophyta,
Erythronium howellii,PMLIL0U080,162721.0,Erythronium howellii,2026-05-06,Howell's adder's-tongue,
Astragalus peckii,PDFAB0F6Q0,158964.0,Astragalus peckii,2026-05-06,Peck's milk-vetch,
Sedum spathulifolium ssp. purdyi,PDCRA0A1D2,238488.0,Sedum spathulifolium purdyi,2026-05-06,Purdy's stonecrop,
Monardella purpurea,PDLAM180T0,61188.0,Monardella purpurea,2026-05-06,Siskiyou monardella,
Melica stricta,PMPOA3X0H0,77985.0,Melica stricta,2026-05-06,Nodding melicgrass,
Penstemon glaucinus,PDSCR1L2M0,166368.0,Penstemon glaucinus,2026-05-06,Blue-leaved penstemon,
Penstemon peckii,PDSCR1L4V0,166417.0,Penstemon peckii,2026-05-06,Peck's penstemon,
Botrychium pinnatum,PPOPH010V0,75850.0,Botrychium pinnatum,2026-05-06,Pinnate grape-fern,
Ranunculus austro-oreganus,PDRAN0L0E0,877016.0,Ranunculus austro-oreganus,2026-05-06,Southern Oregon buttercup,
Botrychium lanceolatum,PPOPH01070,1619288.0,Botrychium lanceolatum,2026-05-06,Lance-leaved grape-fern,
Castilleja chlorotica,PDSCR0D0C0,160181.0,Castilleja chlorotica,2026-05-06,Green-tinged paintbrush,
Rorippa columbiae,PDBRA27060,78875.0,Rorippa columbiae,2026-05-06,Columbia cress,
Luina serpentina,PDAST61020,164871.0,Luina serpentina,2026-05-06,Colonial luina,
Collomia mazama,PDPLM02070,160788.0,Collomia mazama,2026-05-06,Mt. Mazama collomia,
Botrychium minganense,PPOPH010R0,75847.0,Botrychium minganense,2026-05-06,Gray moonwort,
Romanzoffia thompsonii,PDHYD0E050,167954.0,Romanzoffia thompsonii,2026-05-06,Thompson mistmaiden,
Hydnotrya inordinata,NFFUN2W010,221580.0,Hydnotrya inordinata,2026-05-06,Fungus,
Ramaria amyloidea,NFFUN4V010,229786.0,Ramaria amyloidea,2026-05-06,Fungus,
Ramaria largentii,NFFUN5H010,229793.0,Ramaria largentii,2026-05-06,Fungus,
Ramaria maculatipes,NFFUN5K010,229795.0,Ramaria maculatipes,2026-05-06,Fungus,
Cortinarius magnivelatus,NFSM000410,217616.0,Cortinarius magnivelatus,2026-05-06,Fungus,
Pseudocyphellaria mallota,NLLEC3B070,229109.0,Pseudocyphellaria mallota,2026-05-06,Lichen,
Rhizopogon flavofibrillosus,NFSM000172,230009.0,Rhizopogon flavofibrillosus,2026-05-06,Fungus,
Rhizopogon rogersii,NFNHP00074,505038.0,Rhizopogon rogersii,2026-05-06,Fungus,
Rhizopogon semireticulatus,NFNHP00075,505039.0,Rhizopogon semireticulatus,2026-05-06,Fungus,
Actaea laciniata,PDRAN07040,158003.0,Actaea laciniata,2026-05-06,Mt. Hood bugbane,
