ELCODE,G_RANK,ELEMENT_SUBNATIONAL_ID,SNAME,SCOMNAME,S_RANK,EO_TRACK_STATUS_DESC
PDFAB2X0N1,G5T5,8635.0,Oxytropis sericea var. sericea,White locoweed,S1,Track all extant and selected historical EOs
PDMCC02040,G5,8743.0,Myrica gale,Sweet gale,S1?,Track all extant and selected historical EOs
PMPOA2K0Y0,G3G4,13642.0,Eragrostis lutescens,Yellow lovegrass,S2,Track all extant and selected historical EOs
PMLIL0D0U2,G5T2,9246.0,Calochortus macrocarpus var. maculosus,Green-band mariposa-lily,S2,Track all extant and selected historical EOs
PDAPI0F010,G5,8183.0,Bupleurum americanum,Bupleurum,S1,Track all extant and selected historical EOs
PMPOT030V0,G5,12891.0,Potamogeton praelongus,White-stem pondweed,S2?,Track all extant and selected historical EOs
PMLIL0H010,G4,9261.0,Clintonia andrewsiana,Andrew's bead-lily,SH,Track all extant and selected historical EOs
PDAPI1B030,G2,8194.0,Lomatium bradshawii,Bradshaw's lomatium,S2,Track all extant and selected historical EOs
PMCYP03GJ0,G5,9163.0,Carex duriuscula,Involute-leaved sedge,S1,Track all extant and selected historical EOs
PMLIL0G010,G4G5,9260.0,Chlorogalum angustifolium,Narrow-leaved amole,S1,Track all extant and selected historical EOs
PMCYP090A0,G4,9169.0,Eleocharis bolanderi,Bolander's spikerush,S2,Track all extant and selected historical EOs
PDSCR0D2Z0,G5,420211.0,Castilleja septentrionalis,Labrador paintbrush,SNR,Track all extant and selected historical EOs
PDAST3L010,G4,8282.0,Ericameria arborescens,Golden fleece,S1,Track all extant and selected historical EOs
PDCAC0D0H0,G5,10662.0,Opuntia fragilis,Brittle prickly-pear,S3,Track all extant and selected historical EOs
PMLIL1X030,G5,9290.0,Streptopus streptopoides,Small twisted-stalk,S2,Track all extant and selected historical EOs
PDAST9C0L0,G4,8354.0,Townsendia scapigera,Tufted Townsend daisy,S2,Track all extant and selected historical EOs
PMORC0M060,G5,9540.0,Corallorhiza wisteriana,Spring coral-root,SH,Track all extant and selected historical EOs
PDSCR1L3A0,G4,9043.0,Penstemon janishiae,Janish's penstemon,SNR,Track all extant and selected historical EOs
PDASTEF010,G3,8370.0,Sericocarpus rigidus,White-topped aster,S2,Track all extant and selected historical EOs
PDFAB0F8P0,G3,8592.0,Astragalus tegetarioides,Bastard kentrophyta,S3,Track all extant and selected historical EOs
PDPOR04031,G4G5T3,8843.0,Lewisia columbiana var. columbiana,Columbia lewisia,S2,Track all extant and selected historical EOs
PDONA031C0,G3G4,9624.0,Camissonia pusilla,Washoe suncup,S2,Track all extant and selected historical EOs
PPADI0B020,G5,9358.0,Cryptogramma stelleri,Steller's rock-brake,S1,Track all extant and selected historical EOs
PDMAL110E0,G3G4,8736.0,Sidalcea malachroides,Maple-leaved sidalcea,SH,Track all extant and selected historical EOs
PDNYC010F0,G4,14010.0,Abronia mellifera,White sandverbena,SNR,Track all extant and selected historical EOs
PDRUB0N1J0,G2?,365324.0,Galium muricatum,Humboldt bedstraw,SNR,Track all extant and selected historical EOs
