name,label,sname,author,scomname,s_rank,eo_track_status_desc,explorer,egt_uid,family,ELCODE_BCD,NAME_CATEGORY_DESC,growth_habit,element_type,duration
6282,Dicamptodon copei : Cope's giant salamander,Dicamptodon copei,"Nussbaum, 1970",Cope's giant salamander,S2?,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101509,ELEMENT_GLOBAL.2.101509,Dicamptodontidae,AAAAH01010,Vertebrate Animal,,Animal,
6742,Dolichonyx oryzivorus : Bobolink,Dolichonyx oryzivorus,"(Linnaeus, 1758)",Bobolink,S2B,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102736,ELEMENT_GLOBAL.2.102736,Icteridae,ABPBXA9010,Vertebrate Animal,,Animal,
6339,Egretta thula : Snowy Egret,Egretta thula,"(Molina, 1782)",Snowy Egret,S2B,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100485,ELEMENT_GLOBAL.2.100485,Ardeidae,ABNGA06030,Vertebrate Animal,,Animal,
7122,Enhydra lutris : Sea otter,Enhydra lutris,"(Linnaeus, 1758)",Sea otter,SH,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102244,ELEMENT_GLOBAL.2.102244,Mustelidae,AMAJF09010,Vertebrate Animal,,Animal,
6774,Entosphenus minimus : Miller Lake lamprey,Entosphenus minimus,"(Bond and Kan, 1973)",Miller Lake lamprey,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104572,ELEMENT_GLOBAL.2.104572,Petromyzontidae,AFBAA02070,Vertebrate Animal,,Animal,
6776,Entosphenus tridentatus : Pacific lamprey,Entosphenus tridentatus,"(Richardson, 1836)",Pacific lamprey,S1S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102975,ELEMENT_GLOBAL.2.102975,Petromyzontidae,AFBAA02100,Vertebrate Animal,,Animal,
6777,Entosphenus tridentatus ssp. 1 : Goose Lake lamprey,Entosphenus tridentatus ssp. 1,,Goose Lake lamprey,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104823,ELEMENT_GLOBAL.2.104823,Petromyzontidae,AFBAA02101,Vertebrate Animal,,Animal,
6598,Eremophila alpestris strigata : Streaked Horned Lark,Eremophila alpestris strigata,"(Henshaw, 1884)",Streaked Horned Lark,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102946,ELEMENT_GLOBAL.2.102946,Alaudidae,ABPAT0201L,Vertebrate Animal,,Animal,
7074,Erethizon dorsatum : Common porcupine,Erethizon dorsatum,"(Linnaeus, 1758)",Common porcupine,S3S4,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101195,ELEMENT_GLOBAL.2.101195,Erethizontidae,AMAFJ01010,Vertebrate Animal,,Animal,
6990,Euderma maculatum : Spotted bat,Euderma maculatum,"(J.A. Allen, 1891)",Spotted bat,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104813,ELEMENT_GLOBAL.2.104813,Vespertilionidae,AMACC07010,Vertebrate Animal,,Animal,
7107,Eumetopias jubatus : Northern sea lion,Eumetopias jubatus,"(Schreber, 1776)",Northern sea lion,S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104433,ELEMENT_GLOBAL.2.104433,Otariidae,AMAJC03010,Vertebrate Animal,,Animal,
6408,Falco peregrinus anatum : American Peregrine Falcon,Falco peregrinus anatum,"Bonaparte, 1838",American Peregrine Falcon,S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105102,ELEMENT_GLOBAL.2.105102,Falconidae,ABNKD06071,Vertebrate Animal,,Animal,
12968,Falco peregrinus tundrius : Arctic Peregrine Falcon,Falco peregrinus tundrius,"C.M. White, 1968",Arctic Peregrine Falcon,S3?N,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104097,ELEMENT_GLOBAL.2.104097,Falconidae,ABNKD06074,Vertebrate Animal,,Animal,
6523,Fratercula cirrhata : Tufted Puffin,Fratercula cirrhata,"(Pallas, 1769)",Tufted Puffin,S1B,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100853,ELEMENT_GLOBAL.2.100853,Alcidae,ABNNN12010,Vertebrate Animal,,Animal,
7117,Gulo gulo : Wolverine,Gulo gulo,"(Linnaeus, 1758)",Wolverine,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103092,ELEMENT_GLOBAL.2.103092,Mustelidae,AMAJF03010,Vertebrate Animal,,Animal,
6390,Gymnogyps californianus : California Condor,Gymnogyps californianus,"(Shaw, 1797)",California Condor,SX,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101273,ELEMENT_GLOBAL.2.101273,Cathartidae,ABNKA03010,Vertebrate Animal,,Animal,
6612,Gymnorhinus cyanocephalus : Pinyon Jay,Gymnorhinus cyanocephalus,"Wied, 1841",Pinyon Jay,S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101291,ELEMENT_GLOBAL.2.101291,Corvidae,ABPAV07010,Vertebrate Animal,,Animal,
6894,Hesperoleucus mitrulus : Pit roach,Hesperoleucus mitrulus,"Snyder, 1913",Pit roach,S2?,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101067,ELEMENT_GLOBAL.2.101067,Leuciscidae,AFCJB19027,Vertebrate Animal,,Animal,
6377,Histrionicus histrionicus : Harlequin Duck,Histrionicus histrionicus,"(Linnaeus, 1758)",Harlequin Duck,"S2B,S3N",Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104856,ELEMENT_GLOBAL.2.104856,Anatidae,ABNJB15010,Vertebrate Animal,,Animal,
6325,Hydrobates furcatus : Fork-tailed Storm-Petrel,Hydrobates furcatus,"(Gmelin, 1789)",Fork-tailed Storm-Petrel,S2B,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104978,ELEMENT_GLOBAL.2.104978,Hydrobatidae,ABNDC04010,Vertebrate Animal,,Animal,
6772,Lampetra ayresii : Western River lamprey,Lampetra ayresii,"(Günther, 1870)",Western River lamprey,S3?,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101220,ELEMENT_GLOBAL.2.101220,Petromyzontidae,AFBAA02030,Vertebrate Animal,,Animal,
399193,Lampetra pacifica : Pacific brook lamprey,Lampetra pacifica,"Vladykov, 1973",Pacific brook lamprey,S2?,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1098980,ELEMENT_GLOBAL.2.1098980,Petromyzontidae,AFBAA02170,Vertebrate Animal,,Animal,
6988,Lasiurus cinereus : Hoary bat,Lasiurus cinereus,"(Beauvois, 1796)",Hoary bat,S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103130,ELEMENT_GLOBAL.2.103130,Vespertilionidae,AMACC05032,Vertebrate Animal,,Animal,
7003,Lepus townsendii : White-tailed jackrabbit,Lepus townsendii,"Bachman, 1839",White-tailed jackrabbit,S2?,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100375,ELEMENT_GLOBAL.2.100375,Leporidae,AMAEB03040,Vertebrate Animal,,Animal,
6572,Leuconotopicus albolarvatus : White-headed Woodpecker,Leuconotopicus albolarvatus,"(Cassin, 1850)",White-headed Woodpecker,S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100448,ELEMENT_GLOBAL.2.100448,Picidae,ABNYF07070,Vertebrate Animal,,Animal,
6491,Leucophaeus pipixcan : Franklin's Gull,Leucophaeus pipixcan,"Wagler, 1831",Franklin's Gull,S2B,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101670,ELEMENT_GLOBAL.2.101670,Laridae,ABNNM03020,Vertebrate Animal,,Animal,
6757,Leucosticte atrata : Black Rosy-Finch,Leucosticte atrata,"Ridgeway, 1874",Black Rosy-Finch,S2B,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105480,ELEMENT_GLOBAL.2.105480,Fringillidae,ABPBY02010,Vertebrate Animal,,Animal,
6759,Leucosticte tephrocotis wallowa : Wallowa Rosy-Finch,Leucosticte tephrocotis wallowa,A.H. Miller 1939,Wallowa Rosy-Finch,"S2B,S2?N",Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100308,ELEMENT_GLOBAL.2.100308,Fringillidae,ABPBY02031,Vertebrate Animal,,Animal,
6298,Lithobates pipiens : Northern leopard frog,Lithobates pipiens,"(Schreber, 1782)",Northern leopard frog,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101454,ELEMENT_GLOBAL.2.101454,Ranidae,AAABH01170,Vertebrate Animal,,Animal,
7127,Lynx canadensis : Canada lynx,Lynx canadensis,"Kerr, 1792",Canada lynx,S1?,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102126,ELEMENT_GLOBAL.2.102126,Felidae,AMAJH03010,Vertebrate Animal,,Animal,
365575,Martes caurina humboldtensis : Pacific Marten - Coastal Population,Martes caurina humboldtensis,"(Grinnell and Dixon, 1926)",Pacific Marten - Coastal Population,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1308639,ELEMENT_GLOBAL.2.1308639,Mustelidae,AMAJF01017,Vertebrate Animal,,Animal,
13969,Martes caurina pop. 1 : Pacific Marten - Interior Population,Martes caurina pop. 1,,Pacific Marten - Interior Population,S4,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.894177,ELEMENT_GLOBAL.2.894177,Mustelidae,AMAJF01015,Vertebrate Animal,,Animal,
6564,Melanerpes lewis : Lewis's Woodpecker,Melanerpes lewis,"(Gray, 1849)",Lewis's Woodpecker,"S3?B,S2?N",Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106409,ELEMENT_GLOBAL.2.106409,Picidae,ABNYF04010,Vertebrate Animal,,Animal,
6980,Myotis thysanodes : Fringed myotis,Myotis thysanodes,"Miller, 1897",Fringed myotis,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100426,ELEMENT_GLOBAL.2.100426,Vespertilionidae,AMACC01090,Vertebrate Animal,,Animal,
6458,Numenius americanus : Long-billed Curlew,Numenius americanus,"Bechstein, 1812",Long-billed Curlew,S3B,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100438,ELEMENT_GLOBAL.2.100438,Scolopacidae,ABNNF07070,Vertebrate Animal,,Animal,
6998,Ochotona princeps : American pika,Ochotona princeps,"(Richardson, 1828)",American pika,S2S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1060049,ELEMENT_GLOBAL.2.1060049,Ochotonidae,AMAEA01030,Vertebrate Animal,,Animal,
7133,Odocoileus virginianus leucurus : Columbian white-tailed deer,Odocoileus virginianus leucurus,"(Douglas, 1829)",Columbian white-tailed deer,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106305,ELEMENT_GLOBAL.2.106305,Cervidae,AMALC02022,Vertebrate Animal,,Animal,
6835,Oncorhynchus clarkii pop. 2 : Coastal cutthroat trout (Southwestern Washington/Columbia River ESU),Oncorhynchus clarkii pop. 2,,Coastal cutthroat trout (Southwestern Washington/Columbia River ESU),S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104543,ELEMENT_GLOBAL.2.104543,Salmonidae,AFCHA0208F,Vertebrate Animal,,Animal,
6834,Oncorhynchus henshawi alvordensis : Alvord cutthroat trout,Oncorhynchus henshawi alvordensis,"(Sigler and Sigler, 1987)",Alvord cutthroat trout,SX,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100698,ELEMENT_GLOBAL.2.100698,Salmonidae,AFCHA0208D,Vertebrate Animal,,Animal,
6831,Oncorhynchus henshawi henshawi : Lahontan cutthroat trout,Oncorhynchus henshawi henshawi,"(Gill and Jordan, 1878)",Lahontan cutthroat trout,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101616,ELEMENT_GLOBAL.2.101616,Salmonidae,AFCHA02081,Vertebrate Animal,,Animal,
