name,label,sname,author,scomname,s_rank,eo_track_status_desc,explorer,egt_uid,family,ELCODE_BCD,NAME_CATEGORY_DESC,growth_habit,element_type,duration
12996,Psathyrella aquatica : Fungus,Psathyrella aquatica,"J.L. Frank, Coffan, & South-worth",Fungus,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.885440,ELEMENT_GLOBAL.2.885440,Coprinaceae,NFFUN00N00,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
10243,Psathyrella gruberi : Fungus,Psathyrella gruberi,A.H. Sm.,Fungus,SH,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.57.10241,ELEMENT_GLOBAL.57.10241,Coprinaceae,NFNHP00061,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
10246,Psathyrella oregonensis : Fungus,Psathyrella oregonensis,A.H. Sm.,Fungus,SH,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.57.10244,ELEMENT_GLOBAL.57.10244,Coprinaceae,NFNHP00062,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
10249,Psathyrella quercicola : Fungus,Psathyrella quercicola,A.H. Sm.,Fungus,SH,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.57.10247,ELEMENT_GLOBAL.57.10247,Coprinaceae,NFNHP00063,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
10253,Psathyrella subcaespitosa : Fungus,Psathyrella subcaespitosa,A.H. Sm.,Fungus,SH,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.57.10251,ELEMENT_GLOBAL.57.10251,Coprinaceae,NFNHP00064,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
10256,Psathyrella wapinitaensis : Fungus,Psathyrella wapinitaensis,Kempton & A.H. Sm.,Fungus,SH,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.57.10254,ELEMENT_GLOBAL.57.10254,Coprinaceae,NFNHP00065,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
10259,Pseudaleuria quinaultiana : Fungus,Pseudaleuria quinaultiana,Lusk,Fungus,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.637161,ELEMENT_GLOBAL.2.637161,Pyronemataceae,NFFUN4T010,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
10458,Pseudephemerum nitidum : Delicate Earth-moss,Pseudephemerum nitidum,(Hedw.) Loeske,Delicate Earth-moss,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.124933,ELEMENT_GLOBAL.2.124933,Ditrichaceae,NBMUS5W010,Nonvascular Plant,,Plant,
419965,Pseudocalliergon angustifolium : Moss,Pseudocalliergon angustifolium,Hedenäs,Moss,SNR,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.874196,ELEMENT_GLOBAL.2.874196,Amblystegiaceae,NBMUS9Y020,Nonvascular Plant,,Plant,
8101,Pseudocalliergon trifarium : Three-ranked spear moss,Pseudocalliergon trifarium,(F. Weber & D. Mohr) Loeske,Three-ranked spear moss,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.127793,ELEMENT_GLOBAL.2.127793,Amblystegiaceae,NBMUS1F0A0,Nonvascular Plant,,Plant,
12612,Pseudocrossidium hornschuchianum : Moss,Pseudocrossidium hornschuchianum,(Schultz) Zand.,Moss,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123237,ELEMENT_GLOBAL.2.123237,Pottiaceae,NBMUS7Y040,Nonvascular Plant,,Plant,
