SNAME,SCOMNAME,AUTHOR_NAME_FULL,HP_LIST,added to project,iNaturalist name if different,Biotics updated,notes/issues,References
Calochortus indecorus,Sexton Mt. mariposa-lily,Ownbey & M.E. Peck,1-X,skip for now at least,Calochortus x indecorus,n,"[LKW: leave off project for now, iNat taxonomy issues currently] Not added, iNat says C. indecorus is extinct but C. x indecorus has one observation. Lindsey says she'll look into this one","OregonFlora Calochortus indecorus
https://www.inaturalist.org/taxon_changes?taxon_id=159694"
Calochortus longebarbatus var. longebarbatus,Long-bearded mariposa-lily,S. Wats.,4,y,Calochortus longibarbatus longibarbatus,n,"ORBIC leave as-is, matches ORFlora",Taxonomic Changes Taxon: Calochortus longibarbatus longibarbatus (Active)&quot; · iNaturalist
Calochortus longebarbatus var. peckii,Peck's mariposa-lily,S. Wats.,1,y,Calochortus longibarbatus var. peckii,n,"ORBIC leave as-is, matches ORFlora","Taxonomic Changes Taxon: Calochortus longibarbatus peckii (Active)"" · iNaturalist"
Calochortus macrocarpus var. maculosus,Green-band mariposa-lily,Dougl.,1,y,,,,
Calochortus monophyllus,One-leaved calochortus,(Lindl.) Lem.,2,y,,,,
Calochortus nitidus,Broad-fruit mariposa-lily,Dougl.,2,y,,,,
Calochortus nudus,Shasta star-tulip,S. Wats.,2,y,,,,
Calochortus persistens,Siskiyou mariposa lily,Ownbey,1,y,,,,
Calochortus umpquaensis ssp. confertus,Callahan Meadows mariposa lily,N.A. Fredricks,1,y,,,,
Calochortus umpquaensis ssp. flavicomus,Yellow-haired Umpqua mariposa lily,N.A. Fredricks,1,y,,,,
Calochortus umpquaensis ssp. umpquaensis,Umpqua mariposa lily,N.A. Fredricks,1,y,,,,
Calyptridium roseum,Rosy pussypaws,S. Wats.,2,y,,,,
Camassia howellii,Howell's camassia,S. Wats.,1,y,,,,
Camissonia parvula,Lewis' River suncup,(Nutt. ex Torr. & Gray) Raven,2,y,,,,
Camissonia pusilla,Washoe suncup,Raven,2,y,,,,
Cardamine holmgrenii,Holmgren's bittercress,Al-Shehbaz,1,y,,,,
Cardamine pattersonii,Saddle Mt. bittercress,Henderson,1,y,,,,
Carex abrupta,Abrupt-beaked sedge,Mackenzie,4,y,,,,
Carex atherodes,Awned sedge,Spreng.,4,y,,,,
Carex atrosquama,Blackened sedge,Mackenzie,2,y,,,,
Carex barbarae,Santa Barbara sedge,Dewey,4,y,,,,
Carex bebbii,Bebb's sedge,Olney ex Fern.,4,y,,,,
Carex capillaris,Capillary sedge,L.,2,y,,,,
Carex capitata,Capitate sedge,L.,2,y,,,,
Carex comosa,Bristly sedge,Boott,2,y,,,,
Carex concinna,Low northern sedge,R. Br.,2,y,,,,
Carex cordillerana,Cordilleran sedge,Saarela & B.A. Ford,2,y,,,,
Carex crawfordii,Crawford's sedge,Fern.,2,y,,,,
Carex davyi,Dry-spike sedge,Mackenzie,1,y,,,,
Carex diandra,Lesser panicled sedge,Schrank,2,y,,,,
Carex duriuscula,Involute-leaved sedge,C.A. Mey.,2,y,,,,
Carex gynocrates,Yellow bog sedge,Wormsk. ex Drej.,2,y,Carex alascana,"n, review in future","[LKW: leave as-is for now, keep ORBIC name - check iNat names again in future, seems unresolved] Someone claimed C. gynocrates was misapplied, replaced taxon with C. alascana",https://www.inaturalist.org/taxon_changes?taxon_id=1459725
Carex gynodynama,Hairy sedge,Olney,4,y,,,,
Carex haydeniana,Hayden's sedge,Olney,4,y,,,,
Carex heteroneura,Different-nerve sedge,W. Boott,4,y,,,,
Carex idahoa,Idaho sedge,Bailey,1,y,,,,
Carex klamathensis,Klamath sedge,B.L. Wilson & L.P. Janeway,1,y,,,,
Carex lasiocarpa var. americana,Slender sedge,Ehrh.,2,y,,,,
Carex livida,Pale sedge,(Wahlenb.) Willd.,2,y,,,,
Carex macrocephala,Bighead sedge,Willd. ex Spreng.,2,y,,,,
Carex macrochaeta,Alaska long-awned sedge,C.A. Mey.,2,y,,,,
Carex media,Intermediate sedge,R. Br.,2,y,,,,
Carex micropoda,Small-footed sedge,C.A. Mey.,2,y,,,,
Carex nardina,Spikenard sedge,Fries,2,y,,,,
Carex nervina,Sierra nerved sedge,Bailey,2,y,,,,
Carex pelocarpa,Dusky-seed sedge,F.J. Herm.,2,y,,,,
Carex pluriflora,Many flowered sedge,Hulten,2,y,,,,
Carex praeceptorum,Teacher's sedge,Mackenzie,4,y,,,,
Carex retrorsa,Retrorse sedge,Schwein.,2,y,,,,
Carex saxatilis,Russet sedge,L.,2,y,,,,
Carex scabriuscula,Siskiyou sedge,Mackenzie,4,y,,,,
Carex scirpoidea ssp. stenochlaena,Alaskan single-spiked sedge,Michx.,2,y,,,,
Carex serratodens,Saw-tooth sedge,W. Boott,4,y,,,,
Carex subbracteata,Small-bract sedge,Mackenzie,2,y,,,,
